technique,question_id,query,rank,store_score,cosine_sim,chunk_len,file_name,preview,latency_ms
token,q1,What daily dose of cinnamon was tested against usual care alone for lowering HbA1c in uncontrolled type 2 diabetics?,1,0.7995,0.8224,548,NCT00445354.txt,a 15% decrease in fasting glucose and no change in HbA1C over the duration of this trial. Subjects had HbA1C less than 7% and again no power analysis was includ,5.16
token,q1,What daily dose of cinnamon was tested against usual care alone for lowering HbA1c in uncontrolled type 2 diabetics?,2,0.7549,0.741,1022,NCT00445354.txt,NCT ID: NCT00445354 Brief Title: Randomized Controlled Clinical Trial of Cinnamon to Lower Hemoglobin A1c Official Title: A Randomized Controlled Clinical Trial,5.16
token,q1,What daily dose of cinnamon was tested against usual care alone for lowering HbA1c in uncontrolled type 2 diabetics?,3,0.7395,0.7561,960,NCT00445354.txt,"cinnamon is an insulin sensitizer1. Several compounds within cinnamon have been identified as possible sources of this sensitization process.  To-date, three sm",5.16
token,q2,Which two needle types were compared in the NovoFine insulin injection pen trial?,1,0.8124,0.81,995,NCT00569426.txt,"NCT ID: NCT00569426 Brief Title: Evaluating the Use of Two Different Needles in Subjects With Diabetes Official Title: An Open-label, Randomised, Multi-centre C",4.9
token,q2,Which two needle types were compared in the NovoFine insulin injection pen trial?,2,0.5263,0.5359,962,NCT00135941.txt,NCT ID: NCT00135941 Brief Title: Insulin Glargine Plus Insulin Glulisine Multiple Daily Injections (MDI) Versus Premix Insulin Treatment in Subjects With Diabet,4.9
token,q2,Which two needle types were compared in the NovoFine insulin injection pen trial?,3,0.4964,0.4926,966,NCT05816057.txt,NCT ID: NCT05816057 Brief Title: A Study of the Efficacy and Safety of Semaglutide Injection in the Treatment of Type 2 Diabetes Mellitus Official Title: A Mult,4.9
token,q3,What BMI range was required for eligibility in the Vildagliptin vs Gliclazide trial (on top of metformin)?,1,0.6199,0.6228,978,NCT00102466.txt,NCT ID: NCT00102466 Brief Title: Vildagliptin Compared to Gliclazide in Combination With Metformin in Patients With Type 2 Diabetes Official Title: Vildagliptin,4.92
token,q3,What BMI range was required for eligibility in the Vildagliptin vs Gliclazide trial (on top of metformin)?,2,0.6059,0.6052,415,NCT00102466.txt,On a stable dose of metformin as defined by the protocol * Blood glucose criteria must be met * Body mass index (BMI) in the range 22-45  Exclusion Criteria:  *,4.92
token,q3,What BMI range was required for eligibility in the Vildagliptin vs Gliclazide trial (on top of metformin)?,3,0.5833,0.5869,967,NCT02722239.txt,bioequivalence evaluation with a single administration of the study drug (1 modified - release film-coated tablets of Dapagliflozin + Metformin or 1 film-coated,4.92
token,q4,What reference product was Semaglutide Injection compared against in the Phase III metformin combination-therapy trial?,1,0.7153,0.6897,966,NCT05816057.txt,NCT ID: NCT05816057 Brief Title: A Study of the Efficacy and Safety of Semaglutide Injection in the Treatment of Type 2 Diabetes Mellitus Official Title: A Mult,4.9
token,q4,What reference product was Semaglutide Injection compared against in the Phase III metformin combination-therapy trial?,2,0.5597,0.5355,1003,NCT03141073.txt,"for 28 weeks.  Detailed Description: This study is a phase III study in subjects with T2DM. As designed, the study will start with a 4-week, single-blind, place",4.9
token,q4,What reference product was Semaglutide Injection compared against in the Phase III metformin combination-therapy trial?,3,0.5557,0.5595,806,NCT02722239.txt,"NCT ID: NCT02722239 Brief Title: An Open-label, Randomized, Crossover Study of Comparative Pharmacokinetics and Bioequivalence of Dapagliflozin + Metformin, 10 ",4.9
token,q5,"What natural compound was studied for its modulating effects in uncontrolled, insulin-treated type 2 diabetes patients?",1,0.5682,0.5319,938,NCT00309244.txt,predicted; TLC) ≥ 80% of predicted (Intermountain Thoracic Society); DLCO uncorrected ≥ 70% of predicted  Exclusion Criteria:  * Total daily dose of insulin ≥1.,4.78
token,q5,"What natural compound was studied for its modulating effects in uncontrolled, insulin-treated type 2 diabetes patients?",2,0.5672,0.5418,893,NCT00309244.txt,to determine whether inhaled insulin is safe and effective in the treatment of type 2 diabetes.  Detailed Description:   Eligibility Criteria: Inclusion Criteri,4.78
token,q5,"What natural compound was studied for its modulating effects in uncontrolled, insulin-treated type 2 diabetes patients?",3,0.5638,0.5376,818,NCT03141073.txt,"1500 mg/day from run-in period to treatment completion.  Eligibility Criteria: Inclusion Criteria:  1. Male or female, aged 18\~75 years old; 2. T2DM and treate",4.78
