technique,question_id,query,rank,store_score,cosine_sim,chunk_len,file_name,preview,latency_ms
semantic,q1,What daily dose of cinnamon was tested against usual care alone for lowering HbA1c in uncontrolled type 2 diabetics?,1,0.7802,0.7696,756,NCT00445354.txt,NCT ID: NCT00445354 Brief Title: Randomized Controlled Clinical Trial of Cinnamon to Lower Hemoglobin A1c Official Title: A Randomized Controlled Clinical Trial,4.25
semantic,q1,What daily dose of cinnamon was tested against usual care alone for lowering HbA1c in uncontrolled type 2 diabetics?,2,0.7125,0.7358,1582,NCT00445354.txt,Cinnamon is purported to be a natural insulin sensitizer without any known adverse events. Both in vitro and in vivo animal studies have shown that cinnamon is ,4.25
semantic,q1,What daily dose of cinnamon was tested against usual care alone for lowering HbA1c in uncontrolled type 2 diabetics?,3,0.5556,0.5188,2459,NCT05816057.txt,Eligibility Criteria: Inclusion Criteria:  1. Volunteer to participate in the trial and sign the informed consent form； 2. Diagnosed with type 2 diabetes And St,4.25
semantic,q2,Which two needle types were compared in the NovoFine insulin injection pen trial?,1,0.8173,0.8028,819,NCT00569426.txt,"NCT ID: NCT00569426 Brief Title: Evaluating the Use of Two Different Needles in Subjects With Diabetes Official Title: An Open-label, Randomised, Multi-centre C",4.11
semantic,q2,Which two needle types were compared in the NovoFine insulin injection pen trial?,2,0.5286,0.5182,1373,NCT00135941.txt,NCT ID: NCT00135941 Brief Title: Insulin Glargine Plus Insulin Glulisine Multiple Daily Injections (MDI) Versus Premix Insulin Treatment in Subjects With Diabet,4.11
semantic,q2,Which two needle types were compared in the NovoFine insulin injection pen trial?,3,0.4964,0.5055,1265,NCT05816057.txt,NCT ID: NCT05816057 Brief Title: A Study of the Efficacy and Safety of Semaglutide Injection in the Treatment of Type 2 Diabetes Mellitus Official Title: A Mult,4.11
semantic,q3,What BMI range was required for eligibility in the Vildagliptin vs Gliclazide trial (on top of metformin)?,1,0.7345,0.6996,772,NCT00102466.txt,"The purpose of this study is to assess the safety and effectiveness of vildagliptin, an unapproved drug, compared to that of gliclazide in lowering overall bloo",4.21
semantic,q3,What BMI range was required for eligibility in the Vildagliptin vs Gliclazide trial (on top of metformin)?,2,0.6079,0.6004,532,NCT00102466.txt,NCT ID: NCT00102466 Brief Title: Vildagliptin Compared to Gliclazide in Combination With Metformin in Patients With Type 2 Diabetes Official Title: Vildagliptin,4.21
semantic,q3,What BMI range was required for eligibility in the Vildagliptin vs Gliclazide trial (on top of metformin)?,3,0.5815,0.5314,4868,NCT00712673.txt,"Eligibility Criteria: Inclusion Criteria:  * Type 2 diabetes mellitus, diagnosed for at least 1 year before screening visit, insufficiently controlled with metf",4.21
semantic,q4,What reference product was Semaglutide Injection compared against in the Phase III metformin combination-therapy trial?,1,0.7153,0.7131,1265,NCT05816057.txt,NCT ID: NCT05816057 Brief Title: A Study of the Efficacy and Safety of Semaglutide Injection in the Treatment of Type 2 Diabetes Mellitus Official Title: A Mult,4.13
semantic,q4,What reference product was Semaglutide Injection compared against in the Phase III metformin combination-therapy trial?,2,0.5557,0.5356,1824,NCT02722239.txt,"NCT ID: NCT02722239 Brief Title: An Open-label, Randomized, Crossover Study of Comparative Pharmacokinetics and Bioequivalence of Dapagliflozin + Metformin, 10 ",4.13
semantic,q4,What reference product was Semaglutide Injection compared against in the Phase III metformin combination-therapy trial?,3,0.5439,0.5287,613,NCT00543751.txt,NCT ID: NCT00543751 Brief Title: Placebo Controlled Metformin and Sulfonylurea Combination Study in Patients With Type 2 Diabetes (0767-025) Official Title:  St,4.13
semantic,q5,"What natural compound was studied for its modulating effects in uncontrolled, insulin-treated type 2 diabetes patients?",1,0.5637,0.5883,3074,NCT02532101.txt,NCT ID: NCT02532101 Brief Title: Modulating Effects of Oil Palm Phenolics in Uncontrolled Insulin-treated Type 2 Diabetes Mellitus Official Title: Modulating Ef,4.16
semantic,q5,"What natural compound was studied for its modulating effects in uncontrolled, insulin-treated type 2 diabetes patients?",2,0.5526,0.5697,613,NCT00543751.txt,NCT ID: NCT00543751 Brief Title: Placebo Controlled Metformin and Sulfonylurea Combination Study in Patients With Type 2 Diabetes (0767-025) Official Title:  St,4.16
semantic,q5,"What natural compound was studied for its modulating effects in uncontrolled, insulin-treated type 2 diabetes patients?",3,0.5423,0.5356,532,NCT00102466.txt,NCT ID: NCT00102466 Brief Title: Vildagliptin Compared to Gliclazide in Combination With Metformin in Patients With Type 2 Diabetes Official Title: Vildagliptin,4.16
