technique,question_id,query,rank,store_score,cosine_sim,chunk_len,file_name,preview,latency_ms
sentence_window,q1,What daily dose of cinnamon was tested against usual care alone for lowering HbA1c in uncontrolled type 2 diabetics?,1,0.7813,0.7674,533,NCT00445354.txt,NCT ID: NCT00445354 Brief Title: Randomized Controlled Clinical Trial of Cinnamon to Lower Hemoglobin A1c Official Title: A Randomized Controlled Clinical Trial,13.02
sentence_window,q1,What daily dose of cinnamon was tested against usual care alone for lowering HbA1c in uncontrolled type 2 diabetics?,2,0.7133,0.7186,137,NCT00445354.txt,This study will address whether cinnamon at the dose of 1g daily in addition to usual care lowers hemoglobin A1c compared to usual care. ,13.02
sentence_window,q1,What daily dose of cinnamon was tested against usual care alone for lowering HbA1c in uncontrolled type 2 diabetics?,3,0.6478,0.7012,97,NCT00445354.txt,"To-date, three small randomized trials studying cinnamon in human diabetics have been published. ",13.02
sentence_window,q2,Which two needle types were compared in the NovoFine insulin injection pen trial?,1,0.8038,0.8475,178,NCT00569426.txt,The aim of this trial is to compare two needle types when used with a disposable insulin injection pen in the everyday life setting of an insulin treated patien,12.61
sentence_window,q2,Which two needle types were compared in the NovoFine insulin injection pen trial?,2,0.7254,0.7341,310,NCT00569426.txt,NovoFine® 32 Gauge Tip x 6mm and NovoFine® 30 Gauge x 8mm Using a FlexPen® Disposable Insulin Injection Pen Status: COMPLETED Phase: PHASE4 Conditions: Diabetes,12.61
sentence_window,q2,Which two needle types were compared in the NovoFine insulin injection pen trial?,3,0.7051,0.7204,331,NCT00569426.txt,"NCT ID: NCT00569426 Brief Title: Evaluating the Use of Two Different Needles in Subjects With Diabetes Official Title: An Open-label, Randomised, Multi-centre C",12.61
sentence_window,q3,What BMI range was required for eligibility in the Vildagliptin vs Gliclazide trial (on top of metformin)?,1,0.6476,0.6408,484,NCT00102466.txt,Detailed Description:   Eligibility Criteria: Inclusion Criteria:  * On a stable dose of metformin as defined by the protocol * Blood glucose criteria must be m,9.75
sentence_window,q3,What BMI range was required for eligibility in the Vildagliptin vs Gliclazide trial (on top of metformin)?,2,0.6415,0.6275,288,NCT00102466.txt,"The purpose of this study is to assess the safety and effectiveness of vildagliptin, an unapproved drug, compared to that of gliclazide in lowering overall bloo",9.75
sentence_window,q3,What BMI range was required for eligibility in the Vildagliptin vs Gliclazide trial (on top of metformin)?,3,0.6162,0.6031,423,NCT00102466.txt,NCT ID: NCT00102466 Brief Title: Vildagliptin Compared to Gliclazide in Combination With Metformin in Patients With Type 2 Diabetes Official Title: Vildagliptin,9.75
sentence_window,q4,What reference product was Semaglutide Injection compared against in the Phase III metformin combination-therapy trial?,1,0.7351,0.7209,490,NCT05816057.txt,NCT ID: NCT05816057 Brief Title: A Study of the Efficacy and Safety of Semaglutide Injection in the Treatment of Type 2 Diabetes Mellitus Official Title: A Mult,9.58
sentence_window,q4,What reference product was Semaglutide Injection compared against in the Phase III metformin combination-therapy trial?,2,0.7277,0.7261,136,NCT05816057.txt,"Ltd.,  Brief Summary: Semaglutide injection is a new drug developed according to Ozempic® biosimilars.This trial is conducted in China. ",9.58
sentence_window,q4,What reference product was Semaglutide Injection compared against in the Phase III metformin combination-therapy trial?,3,0.6089,0.5759,178,NCT05816057.txt,The purpose of this study is to investigate the similarities in the efficacy and safety of semaglutide injection and Ozempic® in the treatment of type 2 diabete,9.58
sentence_window,q5,"What natural compound was studied for its modulating effects in uncontrolled, insulin-treated type 2 diabetes patients?",1,0.6129,0.5858,164,NCT00306384.txt,The rising incidence of type 2 diabetes mellitus and the limitations of the currently available treatments suggest the need for new therapies for glycemic contr,9.64
sentence_window,q5,"What natural compound was studied for its modulating effects in uncontrolled, insulin-treated type 2 diabetes patients?",2,0.5881,0.579,140,NCT02532101.txt,The present study aims to determine the beneficial effects of Oil Palm Phenolics in uncontrolled insulin treated type 2 diabetic patients.  ,9.64
sentence_window,q5,"What natural compound was studied for its modulating effects in uncontrolled, insulin-treated type 2 diabetes patients?",3,0.5856,0.5921,163,NCT02532101.txt,Detailed Description: Recent studies suggest the potential of polyphenols as a supplementary treatment for diabetes mellitus owing to their biological propertie,9.64
