run_number,temperature,tags,summary,latency_ms
1,0.7,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",24714.79
2,0.7,Metformin Efficacy; Type 2 Diabetes; Phase II Trial,"Phase II study assesses metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",36030.62
3,0.7,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",23105.28
4,0.7,Metformin Efficacy; Type 2 Diabetes Management; Phase II Clinical Trial,"This study evaluates Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse event monitoring.",28072.78
5,0.7,Phase II Trial; Metformin; Type 2 Diabetes,"This trial assesses Metformin's efficacy and safety in managing Type 2 Diabetes blood glucose over 12 weeks, with HbA1c reduction as the primary endpoint.",39078.15
6,0.7,Metformin Efficacy; Type 2 Diabetes; Phase II Trial,"This study assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",45094.62
7,0.7,Metformin Efficacy; Type 2 Diabetes; Clinical Trial Phase II,"Phase II trial assesses metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",54552.54
8,0.7,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse events.",27791.6
9,0.7,Metformin Efficacy; Phase II Clinical Trial; Blood Glucose Management,"Phase II study assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, targeting HbA1c reduction and adverse event monitoring.",28190.46
10,0.7,Metformin Efficacy; Type 2 Diabetes; Phase II Trial,"This Phase II trial assesses Metformin's efficacy and safety in adult Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",40165.82
11,0.7,Metformin Efficacy; Type 2 Diabetes; Clinical Trial,"This study assesses Metformin's efficacy and safety in managing Type 2 Diabetes over 12 weeks, focusing on HbA1c reduction and adverse events.",40429.48
12,0.7,Metformin Efficacy; Type 2 Diabetes; Clinical Trial Phase II,"This Phase II trial assesses Metformin's efficacy and safety in managing Type 2 Diabetes over 12 weeks, focusing on HbA1c reduction and adverse events.",35527.82
13,0.7,Metformin Efficacy; Type 2 Diabetes; Clinical Trial Phase II,"This study assesses Metformin's efficacy and safety in managing Type 2 Diabetes through 12-week blood glucose control, targeting HbA1c reduction and adverse events.",44432.31
14,0.7,Phase II Clinical Trial; Metformin Efficacy; Type 2 Diabetes Management,"This Phase II trial assesses Metformin's efficacy and safety in Type 2 Diabetes patients over 12 weeks, focusing on HbA1c reduction and adverse events.",25347.13
